objectid,title,fileid,creator,palabras clave,resolución,description,,taxonomia,ubicación ,latitude,longitude,contexto,rights,format
tchvt01,Amaranto,amaranto.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, Amaranto, Cereal, Huertas Urbanas",1200x1600,"Segunda generación de Amaranto de la huerta techovita en bosa, se puede observar varias cabezas florales mostrando su color rojizo, ""amaranthus"" proviene del griego que signfica ""flor que no se marchita""  es un cereal con altos valores proteicos",Criollo,Amaranthus cruentus,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"El cultivo de amaranto fue ampliamnete utilizado por los pueblos nativos de mesoamerica siendo parte junto al maiz de ceremonias relacionadas al ciclo agricola y a la fertilidad, con la llegada de los españoles fue erradicado del territorio, actualmente México es uno de los mayores productores de este cereal, en colombia cada vez más se esta implementando este cultivo, este es el caso de las huertas urbanas que han desarrollado una gran labor para la recuperación y adaptación de esta semilla",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt02,Balú,balu.jpg,Daniel Carreño,"Gastronomia Cafetera, Arbol Nativo, Semillas nativas y criollas, Huertas universitarias",1200x1600,"Se puede apreciar a uno de los guardianes de la huerta techovita de la sede Bosa, El Porvenir, este es el caso del balú o chachafruto, arbol nativo de los andes centrales especificamente encontrado en Colombia, Ecuador y Perú donde su fruto es parte de la gastronomia autoctona de la cordillera desde los pueblos originarios hasta nuestros dias.",Nativo,Erythrina edulis,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"considerado parte de la identidad del depertamento del Quindío en el contexto de paisaje cultural cafetero, tal como lo mencionan (Guzman, Parra y Tarapuez 2019) cuando afirman que el chachafruto ha sido parte de la gastronomia tradicional cafetera a pesar de provenir de otras regiones del país, siendo parte de preparaciones con cidra y bolo",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt03,Cubios,cubio.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, Cubios, Tuberculo, Huertas Urbanas",1200x1600,"Jornada de cultivo de cubios en la huerta techovita, se puede apreciar una serie de ejemplares con multiples raices, señal de que es el momento adecuado para su siembra",Nativo,Tropaeolum tuberosum,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,El cubio es una planta originaria de los andes  cuyo tuberculo es comestible y ampliamnete usado por los pueblos originarios hasta nuestros dias donde forman parte de nuestro patrimonio cultural alimentario principalmente de la region cundiboyacense,© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt04,Curubo,curubo.jpg,Daniel Carreño,"Curuba, Semillas Nativas y Criollas, Huertas Universitarias. Patrimonio Cultural",1200x1600,"En la imagen se puede apreciar el primer ejemplar de passiflora tripartita de la huerta techovita sede Bosa, El Porvenir, podemos ver una enredadera en etapa de cuajado de fruto, la curuba es una enredadera nativa de los andes cuyo fruto alargado, de sabor dulce con toques acidos ha sido consumida y utilizada por nuestros ancestros.",Nativo,Passiflora tripartita,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"Este fruto nativo de los andes ha sobrevivido al proceso de mestizaje y hoy en dia forma parte del patrimonio gastronomico del país, como es el caso de los departamentos de Cundinamarca y Boyacá donde esta fruta forma parte de varias recetas, al respecto Serna (s.f., citado en Barón Chivara & Cote Daza, 2021, p.15), “En el caso de la curuba, formaba parte de los principales frutales de consumo para los muiscas y durante los tiempos de sometimiento por los españoles, en consecuencia, este tipo de frutal era muy apreciado por los indígenas”",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt05,Frijol de Colores,frijol.jpg,Daniel Carreño,"Frijol, Patrimonio ancestral, Semillas nativas y criollas",1200x1600,"La imagen muestra las diferentes variedades de frijol que han sido cultivadas en la huerta techovita desde su fundación en 2018 en la sede Bosa, El Porvenir siendo uno de los primeros cultivos empleados en el espacio estudiantil, se puede apreciar la variedad de colores de este frijol con tonos que van desde el negro pasando por tonos rojizos y azules hasta el color blanco.",Nativo,Phaseolus vulgaris,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"Según Yepes (citado en Marina, Montoya, & Marulanda, 2018, p. 142), ""entre las comunidades indígenas existían ciertas prácticas y rituales para mejorar y asegurar la producción de los alimentos para que toda la población dispusiera de estos. Una de estas prácticas se dio entre los guambianos, quienes tenían la costumbre de sembrar el maíz y el fríjol en la misma excavación, para que el segundo se enredara en el tallo del primero, rodeaban la parcela con siembras de papa, alverja, haba, oca, arracacha y mauja, cosechando en primer lugar la papa y después los otros productos, buscando proteger el terreno contra la erosión, garantizar la seguridad alimentaria y prevenir la aparición de plagas y enfermedades.""",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
mmcc01,Papayuelo,papayuelo.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, Fruto, Papayuelo,  Huertas Urbanas",1200x1600,"En la imagen se puede apreciar uno de los guardianes de la huerta mama coca en la sede vivero, se trata del papayuelo que es un arbusto o arbol pequeño de tallo rugoso, se pueden identifcar sus frutos debajo de la corona de las hojas estrelladas",Nativo,Vasconcellea pubescens,"Huerta Mamá Coca, Sede Vivero",4.597203911,-74.06425985,"El papayuelo, al ser una especie nativa, ha sido ampliamente usado en el territorio. Hoy en día, es utilizado en la elaboración de postres como el dulce de papayuela. Tal y como señalan Barón Chivara y Cote Daza, ""su elaboración se ha transmitido de generación en generación, y es típico de la región porque, al igual que las brevas, en la mayoría de las casas antiguamente existía un solar, pequeño lugar que permitía sembrar algunas aromáticas y árboles frutales, dentro de los cuales estaba la papayuela"" (Barón Chivara & Cote Daza, 2021, p. 16).",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt06,Tabaco,tabaco.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, Tabaco, Huertas Urbanas",1200x1600,"La imagen muestra una planta de tabaco (Nicotiana tabacum) en pleno crecimiento, ubicada en la huerta Techovita de la Universidad Distrital Francisco José de Caldas, . La planta se caracteriza por sus grandes hojas de un verde oscuro y su altura, que alcanza aproximadamente un metro. adicionalmente se puede apreciar varias cabezas florales de color rosado",Nativo,Nicotiana Tabacum,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"Esta planta ha sido sagrada para multiples pueblos nativos de america latina, atribuyendole diversos usos rituales, medicinales y sociales, ha sido utilizada como herramienta de comunicación con sus dioses y el mundo espiritual , ya sea a traves de la inhalación de su humo, inhalación del polvo de tabaco por la nariz conocido como “rapé” o aplicado en las encias conocido como “ambil” pueblos de la Amazonia, los Muiscas y Chibchas, etc. consideran al tabaco como una planta de poder de suma importancia para conservar sus tradiciones",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt07,Tomate de Arbol,tomate.jpg,Daniel Carreño,"Patrimonio ancestral, Arbol frutal, Semillas Nativas y Criollas, Tomate de arbol, Huertas Urbanas",1200x1600,"Ejemplar de Tomate de arbol sembrado a finales del primer semestre de 2024 en la huerta techovita de la sede bosa porvenir, se pueden apreciar diferentes colores en sus hojas desde el morado hasta el amarillo",Nativo,Solanum betaceum,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,Esta especie nativa sigue presente en la actualidad en diversas preparaciones culinarias que van desde el jugo de tomate de arbol hasta dulces como almibares sin embargo es cada vez menos el uso y apropiación de este arbol frutal en la cotidianidad de las familias colombianas,© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt08,Uchuva,uchuva.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, Uchuva, arbusto nativo, fruta nativa, Huertas Urbanas",1200x1600,"En la imagen se puede apreciar una planta de aguaymanto tambien conocida como uchuva perteneciente a la huerta la kolina, con algunos frutos biches cubiertos por su respectivo cáliz",Nativo,Physalis peruviana,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"Esta planta herbácea nativa de los andes se ha configurado desde los tiempos prehispanicos a la actualidad como parte del patrimonio cultural alimentario de Colombia tal y como señala (Ministerio de Cultura,2012) “De raíz amerindia son el maíz, la papa, la yuca, la oca, el ulluco, la arracacha, el achiote, el zapallo, el cacao, el aguacate, la uchuva, la curuba, el chontaduro, la piña y frutos de palmas, entre muchos otros alimentos cultivados o silvestres que en la actualidad se utilizan en nuestras cocinas tradicionales“ (p.13)",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
lkln01,Marihuana,marihuana.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, planta medicinal, Cannabis Huertas Urbanas",1200x1600,"Se puede observar un ejemplar joven de cannabis sativa en la facultad de medio ambiente y recursos naturales, es una planta herbacea con multiples usos, en lo que corresponde a las huertas universitarias han sido numerosos los esfuerzos por  resignificar y revalorizar esta planta ancestral mas allá de su uso psicotropico",Criollo,Cannabis Sativa,"Huerta la Kolina, Sede Vivero",4.597141931,-74.06340487,"El cannabis ha sido cultivado durante milenios en diversas culturas alrededor del mundo, siendo parte de diferentes ceremonias y rituales tanto por sus propiedades medicinales como por su utilidad industrial relacionado al Cañamo",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt09,Yacón,yacon.jpg,Daniel Carreño,"Patrimonio ancestral, Semillas Nativas y Criollas, planta medicinal, Yacón, Huertas Urbanas",1200x1600,"Primer especimen cultivado en la huerta Techovita, en la imagen se puede apreciar una planta joven proxima a floración,  el yacón es un tuberculo cuya raiz es dulce y jugosa ademas de que se adapta bien a diferentes condiciones climaticas",Nativo,Smallanthus sonchifolius,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"Ha sido un cultivo Andino, Las raices de esta planta han sido utilizadas en la medicina tradicional gracias a sus antioxidantes, su potencial en reducir el crecimiento bacteriano y fungico, beneficiar la flora intestinal y tener la capacidad de reducir los niveles de glucosa en la sangre etc. el yacón esta siendo recuperado en las huertas urbanas de bogotá lo que significa que los usos de esta planta serán mas valorados desde el punto de vista alimenticio y medicinal.",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
tchvt10,Maiz ,maiz.jpg,Daniel Carreño,"Maiz, Patrimonio ancestral, Semillas nativas y criollas",1200x1600,Segunda cosecha de esta variedad de maiz cariaco rojo adaptada a las condiciones climaticas de Bogotá en la huerta Techovita de la sede bosa el porvenir perteneciente a la universidad distrital Francisco José de Caldas,Criollo,Zea Mays,"Huerta Techovita, Sede Bosa El Porvenir",4.636965739,-74.18527951,"El cultivo de maiz ha sido pilar fundamental de los diferentes pueblos nativos de america latina siendo parte no solo de su alimentación sino parte de su cotidianidad en rituales y ceremonias, a tal punto de influir en el desarrollo cultural de estos pueblos,al respecto (Marina, Montoya & Marulanda, 2018, p.139) señalan que ""Entre las leyendas del surgimiento del maíz destaca la de la cultura Chibcha, que muestra cómo el maíz surgió de unos granos de oro sembrados por Bochica (Dios de los Muiscas), y cómo, desde entonces, el hambre desapareció de la comunidad""",© 2024 Daniel Carreño. Este trabajo está licenciado bajo Creative Commons Atribución-NoComercial-CompartirIgual 4.0 Internacional (CC BY-NC-SA 4.0),JPEG
